t,Vin,Vout RC = 1,Vout RC = 0.1,Vout RC = 0.01
2.1,1.0,-0.26638909690402074,0.2642738541511553,0.9998900126665831
2.11,1.0,-0.25378831485263836,0.33428739350549597,0.9999587547499686
2.12,1.0,-0.24131291267754726,0.3976382694210292,0.9999845330312382
2.13,1.0,-0.22896164282813394,0.45496051760725054,0.9999941998867143
2.14,1.0,-0.21673327016712088,0.5068278373504506,0.9999978249575179
2.15,1.0,-0.20462657184705185,0.5537593332785883,0.9999991843590692
2.16,1.0,-0.1926403371880061,0.5962247107254646,0.999999694134651
2.17,1.0,-0.1807733675565294,0.6346489766910526,0.9999998853004941
2.18,1.0,-0.16902447624576958,0.6694166934466903,0.9999999569876853
2.19,1.0,-0.157392488356805,0.7008758273565696,0.9999999838703819
2.2,1.0,-0.1458762406811536,0.72934123143575,0.9999999939513933
2.21,1.0,-0.1344745815844511,0.7550977964992455,0.9999999977317725
2.22,1.0,-0.12318637089128663,0.778403302439886,0.9999999991494146
2.23,1.0,-0.11201047977118417,0.7994909981714503,0.9999999996810305
2.24,1.0,-0.10094579062571862,0.8185719360579596,0.9999999998803865
2.25,1.0,-0.08999119697675503,0.8358370841928441,0.999999999955145
2.2600000000000002,1.0,-0.07914560335579983,0.8514592376683425,0.9999999999831793
2.27,1.0,-0.06840792519445306,0.8655947479637289,0.9999999999936923
2.2800000000000002,1.0,-0.057777088715950685,0.8783850877606306,0.9999999999976346
2.29,1.0,-0.04725203082778597,0.8899582668466096,0.9999999999991129
2.3000000000000003,1.0,-0.03683169901539938,0.9004301132778191,0.9999999999996674
2.31,1.0,-0.026515051236926192,0.9099054326230186,0.9999999999998752
2.32,1.0,-0.01630105581899151,0.9184790568910306,0.9999999999999531
2.33,1.0,-0.006188691353542011,0.9262367936396378,0.9999999999999825
2.34,1.0,0.0038230534042956715,0.9332562847649059,0.9999999999999934
2.35,1.0,0.013735179637340302,0.9396077835659655,0.9999999999999976
2.36,1.0,0.02354867856647515,0.9453548578623693,0.9999999999999991
2.37,1.0,0.03326453154977091,0.9505550262010416,0.9999999999999997
2.38,1.0,0.04288371018062232,0.955260333520185,0.9999999999999999
2.39,1.0,0.05240717638490831,0.9595178720315705,1.0
2.4,1.0,0.0618358825171854,0.9633702525343661,1.0
2.41,1.0,0.07117077145592393,0.9668560308775646,1.0
2.42,1.0,0.08041277669779673,0.9700100938391784,1.0
2.43,1.0,0.08956282245102952,0.9728640082842075,1.0
2.44,1.0,0.09862182372782255,0.9754463370958616,1.0
2.45,1.0,0.10759068643585253,0.9777829250419766,1.0
2.46,1.0,0.11647030746886418,0.9798971574376695,1.0
2.47,1.0,0.12526157479636035,0.9818101941930073,1.0
2.48,1.0,0.13396536755239977,0.9835411815881152,1.0
2.49,1.0,0.14258255612351103,0.9851074438952362,1.0
2.5,1.0,0.15111400223573215,0.9865246567655558,1.0
2.5100000000000002,1.0,0.15956055904078376,0.9878070041161036,1.0
2.52,1.0,0.16792307120138503,0.9889673200869049,1.0
2.5300000000000002,1.0,0.17620237497572067,0.9900172174891348,1.0
2.54,1.0,0.1843992983010674,0.9909672040298251,1.0
2.5500000000000003,1.0,0.19251466087658844,0.9918267874763369,1.0
2.56,1.0,0.20054927424530403,0.99260457081312,1.0
2.57,1.0,0.2085039418752464,0.9933083383431165,1.0
2.58,1.0,0.21637945923980736,0.9939451335955397,1.0
2.59,1.0,0.2241766138972862,0.9945213298197542,1.0
2.6,1.0,0.23189618556964614,0.9950426937707818,1.0
2.61,1.0,0.2395389462204873,0.9955144434248198,1.0
2.62,1.0,0.24710566013224364,0.9959413002024053,1.0
2.63,1.0,0.2545970839826118,0.996327536221894,1.0
2.64,1.0,0.2620139669202196,0.996677017056178,1.0
2.65,1.0,0.2693570506395414,0.9969932404205694,1.0
2.66,1.0,0.2766270694550683,0.997279371179047,1.0
2.67,1.0,0.2838247503747401,0.9975382730192209,1.0
2.68,1.0,0.29095081317264665,0.9977725371130293,1.0
2.69,1.0,0.29800597046100613,0.9979845080500106,1.0
2.7,1.0,0.30499092776142656,0.9981763073027015,1.0
2.71,1.0,0.31190638357545863,0.9983498544590081,1.0
2.72,1.0,0.31875302945444656,0.9985068864340528,1.0
2.73,1.0,0.3255315500686837,0.9986489748537722,1.0
2.74,1.0,0.33224262327588006,0.9987775417842502,1.0
2.75,1.0,0.33888692018894895,0.9988938739642065,1.0
2.7600000000000002,1.0,0.3454651052431184,0.9989991356830877,1.0
2.77,1.0,0.3519778362623756,0.9990943804336458,1.0
